number	noisetype	edge_width
0	pink2	0.048000
1	none	0.048000
2	white	0.048000
3	pink2	0.950000
4	pink2	0.150000
5	narrow0.5	0.950000
6	pink1	0.150000
7	pink1	0.048000
8	none	0.950000
9	narrow3	0.048000
10	narrow0.5	0.150000
11	white	0.150000
12	white	0.950000
13	narrow0.5	0.048000
14	narrow9	0.950000
15	pink1	0.950000
16	narrow9	0.150000
17	narrow9	0.048000
18	none	0.150000
19	narrow3	0.150000
20	narrow3	0.950000
