number	noisetype	edge_width
0	none	0.150000
1	narrow3	0.048000
2	pink2	0.048000
3	narrow3	0.950000
4	pink2	0.150000
5	white	0.950000
6	pink1	0.150000
7	narrow9	0.950000
8	narrow0.5	0.950000
9	narrow0.5	0.048000
10	narrow9	0.048000
11	pink1	0.950000
12	narrow0.5	0.150000
13	narrow9	0.150000
14	white	0.150000
15	none	0.950000
16	none	0.048000
17	pink2	0.950000
18	narrow3	0.150000
19	white	0.048000
20	pink1	0.048000
