number	noisetype	edge_width
0	pink2	0.048000
1	pink2	0.950000
2	narrow0.5	0.950000
3	narrow3	0.950000
4	none	0.150000
5	white	0.150000
6	none	0.048000
7	narrow0.5	0.150000
8	narrow3	0.048000
9	narrow9	0.048000
10	narrow3	0.150000
11	narrow9	0.150000
12	white	0.048000
13	pink2	0.150000
14	white	0.950000
15	pink1	0.150000
16	narrow9	0.950000
17	pink1	0.048000
18	narrow0.5	0.048000
19	none	0.950000
20	pink1	0.950000
