number	noisetype	edge_width
0	pink2	0.950000
1	narrow0.5	0.048000
2	narrow9	0.950000
3	narrow3	0.150000
4	pink1	0.950000
5	narrow0.5	0.950000
6	narrow9	0.048000
7	pink2	0.150000
8	narrow3	0.950000
9	narrow9	0.150000
10	white	0.048000
11	white	0.150000
12	none	0.950000
13	none	0.150000
14	narrow0.5	0.150000
15	pink1	0.150000
16	none	0.048000
17	narrow3	0.048000
18	pink2	0.048000
19	white	0.950000
20	pink1	0.048000
