number	noisetype	edge_width
0	narrow9	0.048000
1	narrow0.5	0.048000
2	narrow3	0.950000
3	none	0.048000
4	pink1	0.048000
5	pink2	0.150000
6	white	0.150000
7	narrow3	0.048000
8	narrow9	0.950000
9	pink2	0.048000
10	narrow0.5	0.950000
11	white	0.950000
12	narrow9	0.150000
13	pink1	0.950000
14	none	0.950000
15	white	0.048000
16	pink2	0.950000
17	narrow3	0.150000
18	narrow0.5	0.150000
19	none	0.150000
20	pink1	0.150000
