number	noisetype	edge_width
0	pink1	0.950000
1	narrow9	0.950000
2	pink2	0.048000
3	narrow0.5	0.150000
4	white	0.048000
5	pink1	0.150000
6	narrow3	0.150000
7	narrow0.5	0.048000
8	narrow9	0.150000
9	narrow9	0.048000
10	none	0.048000
11	none	0.950000
12	narrow0.5	0.950000
13	pink1	0.048000
14	none	0.150000
15	white	0.950000
16	pink2	0.150000
17	pink2	0.950000
18	narrow3	0.950000
19	white	0.150000
20	narrow3	0.048000
