number	noisetype	edge_width
0	pink1	0.048000
1	narrow3	0.950000
2	pink2	0.048000
3	narrow3	0.048000
4	narrow9	0.950000
5	white	0.048000
6	none	0.150000
7	narrow9	0.150000
8	narrow0.5	0.150000
9	white	0.950000
10	narrow0.5	0.048000
11	pink1	0.950000
12	none	0.048000
13	narrow9	0.048000
14	narrow3	0.150000
15	white	0.150000
16	none	0.950000
17	pink2	0.150000
18	pink1	0.150000
19	narrow0.5	0.950000
20	pink2	0.950000
