number	noisetype	edge_width
0	narrow9	0.950000
1	none	0.150000
2	pink1	0.950000
3	white	0.950000
4	pink2	0.150000
5	narrow0.5	0.950000
6	white	0.150000
7	white	0.048000
8	pink1	0.048000
9	none	0.950000
10	pink2	0.048000
11	narrow3	0.150000
12	narrow3	0.950000
13	none	0.048000
14	narrow3	0.048000
15	narrow0.5	0.150000
16	narrow9	0.048000
17	pink1	0.150000
18	pink2	0.950000
19	narrow0.5	0.048000
20	narrow9	0.150000
