number	noisetype	edge_width
0	pink1	0.048000
1	narrow0.5	0.048000
2	pink1	0.150000
3	pink2	0.048000
4	narrow9	0.048000
5	white	0.048000
6	pink2	0.950000
7	none	0.950000
8	narrow0.5	0.150000
9	white	0.950000
10	narrow0.5	0.950000
11	narrow3	0.950000
12	pink2	0.150000
13	narrow9	0.150000
14	narrow3	0.048000
15	none	0.150000
16	white	0.150000
17	none	0.048000
18	narrow3	0.150000
19	pink1	0.950000
20	narrow9	0.950000
