number	noisetype	edge_width
0	narrow0.5	0.950000
1	narrow3	0.048000
2	none	0.150000
3	none	0.950000
4	pink1	0.048000
5	narrow3	0.150000
6	pink2	0.150000
7	white	0.048000
8	narrow9	0.150000
9	pink1	0.950000
10	narrow9	0.048000
11	none	0.048000
12	narrow9	0.950000
13	pink2	0.048000
14	white	0.150000
15	narrow3	0.950000
16	narrow0.5	0.150000
17	pink2	0.950000
18	pink1	0.150000
19	narrow0.5	0.048000
20	white	0.950000
