number	noisetype	edge_width
0	narrow9	0.150000
1	none	0.048000
2	narrow0.5	0.150000
3	pink2	0.950000
4	narrow3	0.150000
5	pink1	0.048000
6	pink2	0.150000
7	none	0.950000
8	none	0.150000
9	white	0.950000
10	pink2	0.048000
11	narrow3	0.048000
12	white	0.048000
13	narrow3	0.950000
14	white	0.150000
15	narrow0.5	0.048000
16	narrow9	0.048000
17	narrow0.5	0.950000
18	pink1	0.950000
19	narrow9	0.950000
20	pink1	0.150000
